Type,Region,City,FacilityName,Use,Owner,OwnerCity,OwnerZIP,Manager
AIRPORT,MATANUSKA-SUSITNA,BIG LAKE,OWEN FIELD,PRIVATE,MIKE GRAVES,BIG LAKE,99602.0,MIKE GRAVES
AIRPORT,MATANUSKA-SUSITNA,BIG LAKE,WEST BEAVER,PRIVATE,KEN THORALL,BIG LAKE,99762.0,KEN THORALL
AIRPORT,ANCHORAGE,ANCHORAGE,SKY HARBOR,PRIVATE,SKY HBR PRPTY OWNER ASSOC,ANCHORAGE,99516.0,GORDON A. LEONARD
HELIPORT,ANCHORAGE,BIG LAKE,SADDLEBACK ISLAND,PRIVATE,FULLER A. COWELL,FAIRBANKS,99701.0,FULLER  A. COWELL
AIRPORT,NOME,BUCK CREEK,BUCK CREEK,PRIVATE,GREG M. HOPPE,,,NONE
AIRPORT,KENAI PENINSULA,ANCHOR POINT,ANCHOR RIVER AIRPARK,PRIVATE,ANCHOR RIVER AIRPARK OWNERS ASSOC,ANCHOR POINT,99556.0,JIM DRESS
SEAPLANE BASE,SITKA,ANGOON,ANGOON,PUBLIC,ALASKA DOT&PF SOUTHCOAST REGION,JUNEAU,99801.0,PAUL KHERA
HELIPORT,MATANUSKA-SUSITNA,BIG LAKE,TEAM LEVINE,PRIVATE,LARRY A. LEVINE,ANCHORAGE,99508.0,LARRY A. LEVINE
AIRPORT,MATANUSKA-SUSITNA,BIG LAKE,EAGLES ROOST,PRIVATE,PRUHS CORPORATION,WASILLA,99654.0,GUY TURNER
SEAPLANE BASE,MATANUSKA-SUSITNA,BIG LAKE,BROCKER LAKE,PUBLIC,STATE OF AK DNR,ANCHORAGE,99501.0,JOSEPH FISCHER
AIRPORT,NOME,BREVIG MISSION,BREVIG MISSION,PUBLIC,ALASKA DOT&PF SOUTHCOAST REGION,FAIRBANKS,99709.0,JOSEPH JOHNSON
SEAPLANE BASE,KETCHIKAN GATEWAY,ANNETTE,TAMGAS HARBOR,PUBLIC,COUNCIL OF ANNETTE IS,METLAKATLA,99926.0,CHIEF OF POLICE
SEAPLANE BASE,KETCHIKAN GATEWAY,BELL ISLAND,BELL ISLAND HOT SPRINGS,PRIVATE,ALASKA DOT&PF NORTHERN REGION,BELL ISLAND,99901.0,DONALD PETERSON
AIRPORT,KOBUK,BEAR CREEK,BEAR CREEK 1,PRIVATE,PUBLIC DOMAIN,,,NONE
AIRPORT,NOME,BASIN CREEK,BASIN CREEK,PUBLIC,ENGSTROM DREDGING CO,NOME,99762.0,RON ENGSTROM
