Title,Year,Rating,Director
House of the Rising Son,2013,TV-14,Brad Turner
Trust Is Complicated,2014,Not Rated,Chris Hollo
Carbon Copy,2013,TV-14,Rob Hardy
Bullets and Tears,2014,TV-MA,Greg Yaitanes
What Happens in Mecklinburg...,2014,TV-14,Rob Hardy
Dead in Tombstone,2013,R,Roel Reine
12 Rounds 2: Reloaded,2013,R,Roel Reine
Strange Brew,2013,TV-14,Bethany Rooney
The Gift,2013,TV-14,Gail Mancuso
Reaper's Revenge: Fear the Reaper,2014,Not Rated,Keith Munden
The New Office,2013,TV-14,Gail Mancuso
Woman on Top,2013,TV-14,Gail Mancuso
Hugging the Now,2013,TV-PG,Fred Savage
ClosetCon '13,2013,TV-PG,Fred Savage
Seth Snaps,2013,TV-14,Anthony Mastanduno
The Intern,2013,TV-14,Fred Goss
Tactical Village,2014,TV-14,Fred Goss
The Order of the Dragon,2013,TV-MA,Deran Sarafian
The Crucible,2013,TV-MA,Deran Sarafian
Children of the Night,2013,TV-MA,Deran Sarafian
Seth in Charge,2013,TV-14,Anthony Mastanduno
Camping,2013,TV-PG,Chris Koch
Homecoming,2014,TV-MA,Greg Yaitanes
Family Conference,2013,TV-PG,Chris Koch
September Fools,2013,TV-PG,Chris Koch
Back in Action,2013,TV-14,Anthony Mastanduno
Bad Trouble Here,2013,TV-14,Anthony Mastanduno
The Haunting,2014,TV-14,Brad Turner
Seth in Charge,2013,TV-14,Anthony Mastanduno
Seth Snaps,2013,TV-14,Anthony Mastanduno
Computer Crash,2013,TV-14,Anthony Mastanduno
Frame by Frame,1230,TV-14,Alec Smight
Breakdown at Tiffany's,2013,TV-14,Anthony Mastanduno
Gold Crash,2013,TV-14,Anthony Mastanduno
Harold's Gamble,2013,TV-14,Anthony Mastanduno
A Typical Night,2014,Not Rated,Keith Munden
A Good Man,2014,R,Keoni Waxman
Criminal Hatred,2013,TV-14,Adam Bernstein
Tick Tock,2014,Not Rated,Keith Munden
Prince Avalanche,2013,R,David Gordon Green
Safe Place,2014,Not Rated,Keith Munden
12 Rounds 2: Reloaded,2013,R,Roel Reine
Hidden Away,2013,TV-14,Peter Sullivan
Temptation: Confessions of a Marriage Counselor,2013,PG-13,Tyler Perry
High School Possession,2014,R,Peter Sullivan
A Space in the Time,2013,Not Rated,Scott Shaw
The Drive II: 395 Miles from L.A.,2013,Not Rated,Scott Shaw
The Drive III,2014,Not Rated,Scott Shaw
Seth Snaps,2013,TV-14,Anthony Mastanduno
Temptation: Confessions of a Marriage Counselor,2013,PG-13,Tyler Perry
The Single Moms Club,2014,PG-13,Tyler Perry
Tyler Perry's A Madea Christmas,2013,PG-13,Tyler Perry
Emily,2013,Not Rated,Chris Hollo
It's Your Legacy,2013,Not Rated,Chris Hollo
Here We Go,2013,Not Rated,Chris Hollo
Have We Met Before?,2013,Not Rated,Chris Hollo
Trust Is Complicated,2014,Not Rated,Chris Hollo
Rock and a Hard Place,2013,TV-MA,David Von Ancken
In the Clouds,2013,TV-MA,David Von Ancken
Hell Bent for Leather,2013,TV-MA,David Von Ancken
Half Deaf Is Better Than All Dead,2013,TV-MA,Greg Yaitanes
Computer Crash,2013,TV-14,Anthony Mastanduno
Little Fish,2014,TV-MA,Greg Yaitanes
The Thunder Man,2014,TV-MA,Greg Yaitanes
Homecoming,2014,TV-MA,Greg Yaitanes
Bullets and Tears,2014,TV-MA,Greg Yaitanes
Homecoming,2014,TV-MA,Greg Yaitanes
Jarhead 2: Field of Fire,2014,R,Don Michael Paul
Sniper: Legacy,2014,R,Don Michael Paul
What Happens in Mecklinburg...,2014,TV-14,Rob Hardy
Space Warriors,2013,PG,Sean McNamara
Batman: The Dark Knight Returns Part 2,2013,PG-13,Jay Oliva
Carbon Copy,2013,TV-14,Rob Hardy
Temptation: Confessions of a Marriage Counselor,2013,PG-13,Tyler Perry
The Prince,2014,R,Brian A Miller
Officer Down,2013,R,Brian A Miller
Prince Avalanche,2013,R,David Gordon Green
Space Warriors,2013,PG,Sean McNamara
Hidden Away,2014,R,Peter Sullivan
Everly,2014,R,Joe Lynch
Force of Execution,2013,R,Keoni Waxman
A Good Man,2014,***,Keoni Waxman
Pilot,2013,TV-14,Adam Bernstein
Criminal Hatred,2013,TV-14,Adam Bernstein
Patient Zero,2014,TV-14,Adam Davidson
Sacrifice,2014,TV-14,Adam Davidson
Dead of the Class,2013,TV-14,Alec Smight
Seth Snaps,2013,TV-14,Anthony Mastanduno
Frame by Frame,2013,TV-14,Alec Smight
Frame by Frame,2014,TV-14,Alec Smight
Strange Brew,2013,TV-14,Bethany Rooney
A Portrait of the Artist as a Young Call Girl,2013,TV-14,Bethany Rooney
Final Shot,2013,TV-14,Bethany Rooney
State vs Queen,2013,TV-14,Bethany Rooney
Final Shot,2013,TV-14,Bethany Rooney
Aftermath,2013,TV-14,Brad Turner
A View to a Kill,2013,TV-14,Brad Turner
Woman on Top,2013,TV-14,Gail Mancuso
House of the Rising Son,2013,TV-14,Brad Turner
The Haunting,2014,TV-14,Brad Turner
