name,ssn,office,team,position,yrs_experience,pay
Alex_Habibi,546470152,Corvallis,Management,COO,5,200000
Jennifer_Cotts,623413274,Corvallis,Management,CEO,7,250000
Andre_Pollack,718867986,Corvallis,Management,CTO,6,200000
Jim_Polk,674667022,Corvallis,Management,Executive_Assistant,4,70000
AJ_Shen,282838200,Corvallis,Development,Software_Developer,2,90000
Ronny_Sanders,456341684,Corvallis,Development,UX_Designer,2,104000
Brian_You,401355519,Portland,Development,Software_Developer,3,95000
Ouz_Kumar,652404983,Portland,Development,Software_Developer,3,105000
Timoteo_Villa,458862474,Portland,Development,Software_Developer,2,90000
Sherry_Pineda,741030435,Portland,Development,UX_Engineer,3,85000
Jonny_Arwali,684168586,Portland,Development,Software_Developer,2,90000
Maryam_Giza,893804694,Seattle,Research,Researcher,2,55000
Mandy_Segina,183832872,Seattle,Research,Researcher,1,45000
Carrie_Silva,730091346,Portland,Outreach,Media_Director,4,85000
Christian_Busch,735282863,Corvallis,Research,Researcher,1,45000
Benjamin_Camm,408418113,Portland,Outreach,Photographer,1,45000
Alex_Lim,201831002,Corvallis,Research,Researcher,2,55000
Jaden_Brinn,758288653,Seattle,Development,System_Engineer,4,115000
Ketan_Hart,616180634,Corvallis,Management,VP_of_Engineering,3,140000
Jon_Rush,246085612,Corvallis,Research,Researcher,2,55000
Joseph_Panner,882961217,Corvallis,Outreach,Sales_Director,4,75000
Carolina_Bird,238821744,Portland,Outreach,Sales_Representative,3,60000
Tim_Brown,728469710,Seattle,Development,Software_Developer,2,90000
Mindy_Gasparyan,854976812,Seattle,Development,System_Engineer,2,100000
Gordon_Minchew,695215435,Corvallis,Management,CFO,3,175000
Ming_Rui,818482151,Seattle,Outreach,Photographer,1,50000
Hanid_Gada,280513754,Seattle,Development,System_Engineer,3,105000
John_Green,567369263,Corvallis,Research,Researcher,1,45000
Jessica_Forte,293630832,Corvallis,Management,Data_Security_Officer,4,160000
Johnathan_O'Brien,401580647,Corvallis,Outreach,Sales_Representative,2,60000
